,timestamp,frame_id,body_id,hip_x,hip_y,hip_z,spine_x,spine_y,spine_z,spine1_x,spine1_y,spine1_z,spine2_x,spine2_y,spine2_z,sternum_x,sternum_y,sternum_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,right_clavicle_x,right_clavicle_y,right_clavicle_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,right_wrist_x,right_wrist_y,right_wrist_z,left_clavicle_x,left_clavicle_y,left_clavicle_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_hip_x,right_hip_y,right_hip_z,right_knee_x,right_knee_y,right_knee_z,right_ankle_x,right_ankle_y,right_ankle_z,left_hip_x,left_hip_y,left_hip_z,left_knee_x,left_knee_y,left_knee_z,left_ankle_x,left_ankle_y,left_ankle_z
0,0,0,0,0.024477929200000005,0.8453348600000001,0.12967462,0.011062385800000001,0.9037142200000001,0.187468256,0.008277987,0.9939604200000001,0.206831184,0.008447024000000001,1.08607352,0.213345522,0.011234039,1.1783542599999999,0.21138261000000003,0.023159059599999997,1.42011654,0.174446184,0.037230812,1.5457398599999999,0.16250920000000002,0.048633888,1.33387338,0.16184372,0.155467812,1.41816328,0.21164676999999998,0.43303698,1.3738682199999999,0.27826207999999997,0.65224152,1.3747622999999998,0.29143198,-0.0096452944,1.33656832,0.160678876,-0.107380532,1.4434413600000002,0.16566921399999998,-0.39185596000000006,1.44055846,0.215771222,-0.60965842,1.45163794,0.24155704800000002,0.111538004,0.8245297199999999,0.14059662,0.10036987800000001,0.44596304000000003,0.129594864,0.08579993,0.081595722,0.21890888400000003,-0.05849924799999999,0.8166709600000001,0.10906709200000002,-0.078232508,0.43829224000000006,0.108502958,-0.09397212599999999,0.07788656,0.21248700199999998
1,16666666,1,0,0.02128774,0.84523072,0.12768834,0.008084286599999999,0.9031503399999999,0.185992516,0.0043255184000000006,0.9932847800000001,0.205710536,0.0036845748,1.08538772,0.21230259800000004,0.0066432938,1.17766338,0.21035772000000003,0.019618579,1.4193596199999998,0.173331632,0.034863024,1.5448889600000002,0.161865056,0.044869608000000005,1.33301994,0.160936432,0.152056846,1.4160957200000002,0.21200338600000002,0.42939970000000005,1.3709802400000002,0.27901392,0.6486220199999999,1.3722553199999998,0.29187902,-0.0133920484,1.33591554,0.159427164,-0.11142954599999999,1.44251172,0.164408612,-0.39580058,1.439291,0.21507703999999997,-0.61351922,1.4498955,0.241759232,0.108390436,0.82435192,0.13811758000000002,0.10004425000000002,0.44569126000000003,0.12784963000000002,0.086023196,0.08174177199999999,0.21893784,-0.06176365599999999,0.81671922,0.10716717199999999,-0.075945492,0.43827192,0.11878818000000001,-0.090381328,0.076576428,0.21839428000000002
2,33333333,2,0,0.017000347000000002,0.8472881199999999,0.12719812,0.005428818200000001,0.90493088,0.186120278,0.00148326856,0.99499166,0.20613293800000002,0.00031614618,1.08710476,0.21251722800000003,0.0029890973999999997,1.17937534,0.21000262800000002,0.0157772608,1.4208252000000001,0.171337732,0.032390588,1.54624024,0.160550606,0.041146475999999994,1.3344271,0.159588708,0.149207728,1.4158620400000002,0.21145626999999997,0.42577765999999995,1.3683183200000002,0.27996134,0.6450177600000001,1.36941306,0.29256228,-0.0171149518,1.3372490399999999,0.157942534,-0.11592915599999999,1.4431391,0.162673792,-0.40009318,1.43805656,0.214339678,-0.61778642,1.4475383800000001,0.24164290000000002,0.103763318,0.8246237,0.136687306,0.098441002,0.44594525999999995,0.125182376,0.086146894,0.08250910600000001,0.218547188,-0.066764408,0.8205851,0.10714913799999999,-0.075240134,0.44188379999999994,0.11564848600000001,-0.0904875,0.081328768,0.219190316
3,50000000,3,0,0.0135078724,0.84979256,0.129316226,0.0043571668,0.90824304,0.187865004,0.00107125262,0.9984613,0.20728178,-0.00032714437999999997,1.0906125,0.21306078800000003,0.0013220699999999998,1.18287546,0.20959394200000003,0.011649735399999998,1.4240713200000001,0.16867454199999998,0.029789120000000002,1.54940254,0.159452056,0.037732716,1.3378053,0.15753816599999998,0.14651634400000002,1.41840966,0.209190082,0.42170096,1.3668400400000003,0.28030932,0.64090804,1.3660729600000001,0.29348938,-0.0205617064,1.34008368,0.156247084,-0.11996140599999999,1.44545812,0.160113472,-0.40386762,1.43755618,0.21283701400000002,-0.6215126,1.44431512,0.241301016,0.09994290399999999,0.8253628399999999,0.13730224,0.09614789,0.44674790000000003,0.12335992600000001,0.086134448,0.08357463600000001,0.218006676,-0.07119366,0.8246998999999999,0.11121847200000001,-0.077392022,0.4458589,0.11093577,-0.092185744,0.08629396,0.217928952
4,66666666,4,0,0.011409807000000001,0.8520379200000001,0.1311402,0.0042565574,0.9112758000000001,0.189174374,0.00165794944,1.00169726,0.207736948,8.6887304e-05,1.09389672,0.21262949600000003,0.00068538598,1.1861419,0.20844814799999997,0.0080508094,1.4272310799999999,0.166287704,0.02718435,1.5525242,0.158707836,0.034883598,1.34118604,0.155242514,0.14376654,1.42211044,0.206179166,0.4176268,1.3670559400000002,0.27975814,0.6366764,1.36313418,0.29484066000000003,-0.023442142600000004,1.3428598999999999,0.154635454,-0.12296343199999998,1.4481403599999998,0.157932882,-0.40671749999999995,1.43806418,0.21109305000000003,-0.6242430999999999,1.44160494,0.24102974400000002,0.09776383799999999,0.8268208,0.137348976,0.09427743400000001,0.44815506,0.124753878,0.085851238,0.084489544,0.21765615600000005,-0.07394956,0.82760312,0.11538508800000001,-0.081915508,0.44883831999999996,0.109667548,-0.09409023600000001,0.089247218,0.21690584000000002
5,83333333,5,0,0.0094565724,0.85389466,0.13166344,0.0033472882000000004,0.91349068,0.18945072599999999,0.0012339421600000003,1.0040493,0.207388206,-0.000236081824,1.09629194,0.21141588400000003,-0.000104367076,1.18852442,0.20690687600000002,0.0053635402,1.4296288400000001,0.16453967600000002,0.0247287542,1.55493974,0.15791688,0.032581342,1.3437362,0.153242264,0.141249146,1.4253057600000003,0.20360589200000004,0.41446957999999995,1.3686028,0.27830526,0.6332296199999999,1.36115044,0.2960243,-0.025756616,1.34506716,0.153283158,-0.125371606,1.45026126,0.156420058,-0.40903652,1.43916146,0.20986115000000002,-0.6264198799999999,1.4406194200000002,0.24096345000000002,0.09583420000000001,0.82849212,0.13668603599999998,0.092847414,0.44968668,0.12920421199999998,0.08557488599999999,0.084890864,0.21765691799999998,-0.076195936,0.82958432,0.11737340000000002,-0.087543386,0.45087540000000004,0.114228372,-0.095265494,0.089826338,0.21687790000000004
6,100000000,6,0,0.007145248599999999,0.8552561,0.1317625,0.00120613932,0.91507818,0.189332362,-0.00055717694,1.0057257,0.20686141,-0.00154144218,1.09799882,0.21030031600000001,-0.00129018538,1.19022622,0.205707742,0.0035186366,1.4313535,0.163380674,0.0224687638,1.55673552,0.156956252,0.03077972,1.3455040400000002,0.15185898,0.139304522,1.4275231800000001,0.20179893599999998,0.41251124000000006,1.3706449600000001,0.27641296,0.6309207600000001,1.3599541,0.29661866,-0.027558238,1.3467486400000002,0.152321514,-0.127631952,1.45151348,0.15518688800000002,-0.41122600000000004,1.44020286,0.208948528,-0.62848998,1.44058894,0.24091315799999996,0.093529404,0.8298510200000001,0.13665301600000002,0.09175216599999998,0.45096684000000004,0.13514171600000002,0.085667596,0.08482609399999999,0.217948764,-0.07855153200000001,0.83091274,0.11779758,-0.0909066,0.45225462,0.12261342000000001,-0.09551924000000002,0.089056464,0.217586306
7,116666666,7,0,0.004910074,0.8560943000000001,0.13171932000000003,-0.00147544028,0.91614498,0.18900393999999998,-0.0031612586,1.00686362,0.206155798,-0.0036608512000000006,1.0991519799999998,0.20927390199999998,-0.0030314392,1.19137684,0.204633576,0.00212622892,1.43247872,0.162218116,0.020365643800000003,1.5579725,0.15587345,0.029231336000000004,1.3465809999999998,0.150693374,0.13789177400000002,1.4288135,0.199984614,0.4112234600000001,1.37227818,0.27440128,0.6293078599999999,1.35936228,0.29670502000000004,-0.029103828,1.34792212,0.151224996,-0.129775712,1.45212054,0.15386100800000002,-0.41329102,1.4405736999999998,0.20799425000000002,-0.63044832,1.44017492,0.24066880999999998,0.091312238,0.83087464,0.13721587999999998,0.09113012000000001,0.45200062,0.14072768400000002,0.086035896,0.08468690200000001,0.21824315,-0.08065820800000001,0.83152996,0.11735993800000001,-0.091545918,0.45304964000000003,0.13120293800000002,-0.09547707600000001,0.087876634,0.21831020599999998
8,133333333,8,0,0.0029644339999999997,0.8566353200000001,0.13166598000000002,-0.0039660830000000005,0.91693238,0.188625988,-0.005836386600000001,1.0077196000000002,0.205402688,-0.0062079124000000005,1.10001304,0.208383124,-0.005195062,1.19222266,0.20353096200000004,0.00097663254,1.43320262,0.16055721,0.0183351424,1.55884372,0.15467304599999998,0.027768042,1.3471728200000002,0.14928367399999998,0.13684605600000002,1.42953994,0.197416166,0.40999410000000003,1.3728573,0.27239976,0.62784482,1.35932926,0.29653483999999997,-0.030562549999999997,1.3487425400000002,0.14970709199999999,-0.13162051400000002,1.4525625,0.15246731,-0.41496742,1.4400403,0.207264254,-0.63206376,1.43905732,0.24032921199999996,0.08938768,0.8316569600000001,0.13787881999999999,0.09090761600000001,0.45284135999999997,0.14528165,0.08651722599999999,0.0845947,0.218283028,-0.082441542,0.83179158,0.116827046,-0.09107932,0.4535678,0.137555224,-0.09545650200000001,0.087059516,0.218834208
